iter	Passed	Remaining
421	2199	8224
422	2204	8219
423	2209	8212
424	2214	8207
425	2219	8201
426	2225	8196
427	2230	8191
428	2235	8185
429	2240	8180
430	2245	8175
431	2250	8170
432	2255	8164
433	2261	8160
434	2267	8155
435	2272	8150
436	2277	8144
437	2282	8138
438	2287	8134
439	2292	8128
440	2297	8122
441	2302	8115
442	2307	8110
443	2313	8106
444	2318	8101
445	2323	8096
446	2328	8090
447	2334	8086
448	2339	8081
449	2344	8076
450	2349	8070
451	2354	8064
452	2359	8059
453	2365	8054
454	2370	8047
455	2375	8044
456	2380	8038
457	2385	8032
458	2392	8032
459	2400	8034
460	2407	8038
461	2412	8032
462	2418	8027
463	2423	8022
464	2428	8017
465	2433	8011
466	2438	8005
467	2443	7998
468	2448	7993
469	2453	7987
470	2459	7982
471	2464	7977
472	2469	7972
473	2474	7966
474	2479	7960
475	2484	7955
476	2489	7949
477	2494	7944
478	2500	7938
479	2505	7933
480	2510	7928
481	2516	7923
482	2520	7917
483	2526	7912
484	2531	7906
485	2536	7900
486	2541	7897
487	2547	7892
488	2552	7887
489	2557	7882
490	2563	7877
491	2568	7872
492	2573	7867
493	2579	7863
494	2584	7858
495	2589	7853
496	2594	7846
497	2600	7842
498	2605	7837
499	2610	7831
500	2615	7826
501	2620	7820
502	2626	7815
503	2631	7811
504	2636	7805
505	2642	7800
506	2647	7795
507	2652	7790
508	2657	7785
509	2662	7780
510	2668	7774
511	2673	7769
512	2678	7765
513	2684	7759
514	2689	7753
515	2693	7747
516	2698	7741
517	2703	7735
518	2709	7730
519	2713	7724
520	2718	7718
521	2723	7712
522	2729	7707
523	2734	7702
524	2739	7697
525	2744	7691
526	2749	7685
527	2755	7680
528	2759	7674
529	2765	7670
530	2770	7664
531	2775	7659
532	2782	7657
533	2789	7657
534	2796	7656
535	2801	7651
536	2806	7645
537	2811	7640
538	2816	7634
539	2821	7629
540	2826	7623
541	2831	7617
542	2836	7612
543	2842	7606
544	2847	7600
545	2852	7597
546	2857	7591
547	2862	7585
548	2868	7580
549	2873	7574
550	2878	7569
551	2883	7563
552	2888	7558
553	2894	7553
554	2899	7548
555	2904	7542
556	2909	7538
557	2914	7533
558	2920	7527
559	2926	7525
560	2931	7520
561	2937	7515
562	2942	7510
563	2947	7505
564	2953	7500
565	2958	7496
566	2964	7491
567	2969	7487
568	2974	7481
569	2980	7476
570	2985	7471
571	2990	7466
572	2996	7461
573	3001	7456
574	3006	7451
575	3011	7446
576	3016	7439
577	3022	7435
578	3027	7430
579	3032	7424
580	3038	7420
581	3043	7414
582	3048	7409
583	3053	7403
584	3058	7398
585	3064	7393
586	3069	7388
587	3074	7383
588	3079	7378
589	3085	7373
590	3090	7367
591	3095	7362
592	3100	7355
593	3105	7349
594	3110	7344
595	3115	7338
596	3120	7332
597	3125	7327
598	3130	7321
599	3135	7315
600	3141	7311
601	3146	7306
602	3151	7300
603	3156	7294
604	3161	7290
605	3166	7284
606	3172	7279
607	3178	7277
608	3185	7276
609	3192	7274
610	3197	7270
611	3203	7264
612	3208	7259
613	3213	7253
614	3218	7247
615	3223	7242
616	3228	7237
617	3234	7232
618	3238	7225
619	3244	7221
620	3249	7215
621	3254	7210
622	3259	7204
623	3265	7199
624	3270	7194
625	3275	7189
626	3280	7183
627	3285	7178
628	3291	7173
629	3296	7168
630	3301	7162
631	3306	7156
632	3311	7151
633	3316	7145
634	3321	7140
635	3327	7137
636	3333	7132
637	3338	7127
638	3344	7123
639	3349	7117
640	3354	7112
641	3360	7107
642	3365	7102
643	3370	7096
644	3375	7091
645	3380	7085
646	3385	7079
647	3390	7074
648	3396	7069
649	3401	7063
650	3406	7058
651	3411	7053
652	3416	7048
653	3422	7043
654	3427	7038
655	3433	7033
656	3438	7028
657	3443	7023
658	3448	7017
659	3453	7012
660	3459	7007
661	3464	7002
662	3469	6996
663	3474	6991
664	3479	6985
665	3484	6979
666	3490	6975
667	3495	6969
668	3500	6964
669	3505	6958
670	3510	6953
671	3516	6948
672	3522	6945
673	3527	6940
674	3532	6935
675	3538	6929
676	3543	6924
677	3548	6919
678	3554	6914
679	3558	6908
680	3566	6907
681	3572	6904
682	3580	6903
683	3585	6898
684	3590	6892
685	3596	6887
686	3600	6882
687	3606	6877
688	3611	6872
689	3616	6866
690	3622	6861
691	3627	6857
692	3632	6851
693	3638	6846
694	3643	6841
695	3648	6835
696	3653	6829
697	3658	6824
698	3664	6819
699	3669	6814
700	3674	6809
701	3680	6804
702	3685	6799
703	3690	6793
704	3695	6787
705	3700	6782
706	3706	6778
707	3712	6774
708	3717	6768
709	3722	6763
710	3727	6758
711	3732	6752
712	3738	6747
713	3743	6742
714	3748	6736
715	3753	6730
716	3758	6726
717	3763	6720
718	3768	6714
719	3774	6709
720	3778	6703
721	3783	6697
722	3788	6691
723	3793	6685
724	3798	6680
725	3803	6675
726	3809	6669
727	3813	6664
728	3819	6658
729	3824	6652
730	3828	6646
731	3833	6641
732	3838	6635
733	3843	6629
