စဥ်,အမျိုးအမည်,ကုန်စည်ဒိုင်,နေ့စွဲ,အချင်အတွယ်,စျေးနှုန်း (မြန်မာကျပ်),အတက်/အကျ,%
45,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-02-14,တင်း,"17,881",0,0.00%
46,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-02-15,တင်း,"17,422",-459,-2.57%
47,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-02-16,တင်း,"17,422",0,0.00%
48,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-02-17,တင်း,"17,422",0,0.00%
49,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-02-18,တင်း,"17,422",0,0.00%
50,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-02-19,တင်း,"16,810",-612,-3.51%
51,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-02-20,တင်း,"16,810",0,0.00%
52,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-02-21,တင်း,"16,810",0,0.00%
53,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-02-22,တင်း,"16,810",0,0.00%
54,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-02-23,တင်း,"16,810",0,0.00%
55,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-02-24,တင်း,"16,810",0,0.00%
56,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-02-25,တင်း,"16,810",0,0.00%
57,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-02-26,တင်း,"16,810",0,0.00%
58,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-02-27,တင်း,"16,810",0,0.00%
59,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-02-28,တင်း,"16,810",0,0.00%
60,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-02-29,တင်း,"16,199",-611,-3.64%
61,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-01,တင်း,"16,199",0,0.00%
62,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-02,တင်း,"16,199",0,0.00%
63,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-03,တင်း,"16,199",0,0.00%
64,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-04,တင်း,"16,353",154,0.96%
65,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-05,တင်း,"16,353",0,0.00%
66,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-06,တင်း,"16,353",0,0.00%
67,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-07,တင်း,"16,353",0,0.00%
68,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-08,တင်း,"16,353",0,0.00%
69,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-09,တင်း,"16,353",0,0.00%
70,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-10,တင်း,"16,353",0,0.00%
71,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-11,တင်း,"16,353",0,0.00%
72,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-12,တင်း,"16,353",0,0.00%
73,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-13,တင်း,"16,353",0,0.00%
74,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-14,တင်း,"16,353",0,0.00%
75,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-15,တင်း,"16,353",0,0.00%
76,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-16,တင်း,"16,353",0,0.00%
77,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-17,တင်း,"16,353",0,0.00%
78,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-18,တင်း,"16,353",0,0.00%
79,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-19,တင်း,"16,353",0,0.00%
80,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-20,တင်း,"16,353",0,0.00%
81,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-21,တင်း,"16,353",0,0.00%
82,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-22,တင်း,"16,353",0,0.00%
83,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-23,တင်း,"16,353",0,0.00%
84,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-24,တင်း,"16,353",0,0.00%
85,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-25,တင်း,"16,199",-154,-0.95%
86,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-26,တင်း,"16,199",0,0.00%
87,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-27,တင်း,"16,199",0,0.00%
88,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-28,တင်း,"16,199",0,0.00%
89,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-29,တင်း,"16,199",0,0.00%
90,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-30,တင်း,"16,199",0,0.00%
91,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-03-31,တင်း,"16,199",0,0.00%
92,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-01,တင်း,"16,199",0,0.00%
93,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-02,တင်း,"16,199",0,0.00%
94,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-03,တင်း,"16,199",0,0.00%
95,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-04,တင်း,"16,199",0,0.00%
96,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-05,တင်း,"16,199",0,0.00%
97,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-06,တင်း,"16,199",0,0.00%
98,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-07,တင်း,"16,199",0,0.00%
99,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-08,တင်း,"16,199",0,0.00%
100,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-09,တင်း,"16,199",0,0.00%
101,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-10,တင်း,"16,199",0,0.00%
102,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-11,တင်း,"16,199",0,0.00%
103,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-12,တင်း,"16,199",0,0.00%
104,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-13,တင်း,"16,199",0,0.00%
105,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-14,တင်း,"16,199",0,0.00%
106,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-15,တင်း,"16,199",0,0.00%
107,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-16,တင်း,"16,199",0,0.00%
108,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-17,တင်း,"16,199",0,0.00%
109,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-18,တင်း,"16,199",0,0.00%
110,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-19,တင်း,"16,199",0,0.00%
111,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-20,တင်း,"16,199",0,0.00%
112,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-21,တင်း,"16,199",0,0.00%
113,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-22,တင်း,"16,199",0,0.00%
114,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-23,တင်း,"16,199",0,0.00%
115,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-24,တင်း,"16,199",0,0.00%
116,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-25,တင်း,"16,199",0,0.00%
117,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-26,တင်း,"16,199",0,0.00%
118,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-27,တင်း,"16,199",0,0.00%
119,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-28,တင်း,"16,199",0,0.00%
120,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-29,တင်း,"16,506",307,1.89%
121,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-04-30,တင်း,"16,506",0,0.00%
122,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-01,တင်း,"16,506",0,0.00%
123,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-02,တင်း,"16,658",152,0.92%
124,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-03,တင်း,"16,658",0,0.00%
125,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-04,တင်း,"16,658",0,0.00%
126,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-05,တင်း,"16,658",0,0.00%
127,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-06,တင်း,"16,810",152,0.91%
128,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-07,တင်း,"16,810",0,0.00%
129,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-08,တင်း,"16,810",0,0.00%
130,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-09,တင်း,"17,117",307,1.83%
131,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-10,တင်း,"17,117",0,0.00%
132,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-11,တင်း,"17,117",0,0.00%
133,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-12,တင်း,"17,117",0,0.00%
134,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-13,တင်း,"9,935",-7182,-41.96%
135,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-14,တင်း,"17,422",7487,75.36%
136,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-15,တင်း,"17,422",0,0.00%
137,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-16,တင်း,"17,728",306,1.76%
138,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-05-17,တင်း,"17,728",0,0.00%
